Organization Name,Industries,Headquarters Location,Description,CB Rank (Company)
Cognitiv,"Advertising, Analytics, Artificial Intelligence, Big Data, Machine Learning","New York, New York, United States",Cognitiv uses proprietary Deep Learning technology to help companies with Big Data problems get beyond analysis to decisions.,29867
AQUIS,"Beauty, Manufacturing, Productivity Tools, Wellness","San Francisco, California, United States","AQUIS is a beauty tool manufacturer that pioneers a science-based approach to restoring hair’s natural strength, vitality, and beauty.",29868
BRXS,Real Estate Investment,"Amsterdam, Noord-Holland, The Netherlands",Real Estate investing,29869
AUTOST.,"Auctions, Automotive, B2B, Retail","Changning, Shanghai, China",AUTOST. is a retail and used car auction platform.,29870
Pathfndr,"Artificial Intelligence, Leisure, Machine Learning, Tourism, Travel, Travel Agency","Bangalore, Karnataka, India",Building the AI-powered Travel Operating System to help travel advisors create their online/ hybrid business.,29871
Mentava,"E-Learning, EdTech, Education, Software","Tacoma, Washington, United States",Mentava is a software development company that supports top-performing students to achieve their potential.,29872
rePurpose Global,"Environmental Consulting, Recycling, Waste Management","New York, New York, United States","World's leading Plastic Action Platform dedicated to reducing waste, reviving lives, and restoring nature's balance",29873
Boralex,"Energy, Renewable Energy, Solar","Kingsey Falls, Quebec, Canada",Boralex is a power producer whose core business is dedicated to the development and the operation of renewable energy power stations.,29874
BossaBox,"Enterprise Software, Human Resources, Information Technology, Professional Networking","Brasil, Sao Paulo, Brazil","BossaBox is a complete digital products' development suite, operating a digital services professional freelancing marketplace.",29875
Sterling Construction Company,"Civil Engineering, Construction, Infrastructure","The Woodlands, Texas, United States",Sterling is a heavy civil construction company,29876
Iridia,"Data Storage, Electronics, Health Care, Semiconductor","Carlsbad, California, United States","Iridia is a nanotechnology company that specializes in bio-chemistry, molecular biology, and DNA.",29877
Hydronalix,"Aquaculture, Marine Technology, Robotics, Sensor, Water","Green Valley, Arizona, United States",Hydronalix is an innovator in the realm of maritime robotic systems.,29878
Mask Network,"Blockchain, Cryptocurrency, Privacy, Security, Social Network, Software","Singapore, Central Region, Singapore","Mask Network is the Portal to the New, Open Internet.",29879
Nurture Life,"Delivery, Food and Beverage, Organic Food","Chicago, Illinois, United States","Nurture Life is a food company that offers organic and ready-to-eat meals for babies, toddlers, and kids.",29880
Looppanel,"Customer Service, Software",,Looppanel allows product & design teams to analyze and share insights from Zoom-based user interviews in minutes.,29881
City Storage Systems,"Commercial Real Estate, Industrial, Real Estate","Los Angeles, California, United States",City Storage Systems is a startup that focuses on re-purposing distressed real estate assets.,29882
Georgie & Tom's,"Food and Beverage, Food Delivery, Food Processing, Restaurants","New York, New York, United States",Georgie & Tom's prepares the highest quality fully prepared meals delivering direct to consumer,29883
RideLink,"Logistics, Transportation, Travel Agency","Kampala, Kampala, Uganda",Ridelink is a transport company that offers tailor-made logistics and transportation services for both SMEs and large firms.,29884
Travelstop,"Business Travel, Enterprise Software, Internet, SaaS, Software, Travel","Singapore, Central Region, Singapore",Travelstop is a revolutionary platform aimed at modernizing and simplifying business travel.,29885
hundo.xyz,"B2B, B2C, Blockchain, Career Planning, EdTech","London, England, United Kingdom",hundo.xyz is the first skills platform to validate and verify qualifications on-chain in a soulbound NFT skills wallet for Gen Z.,29886
SanBio,"Agriculture, Biopharma, Biotechnology, Pharmaceutical","Tokyo, Tokyo, Japan",SanBio is a regenerative medicine company.,29887
Airborne Technology,"Aerospace, Industrial Automation, Industrial Engineering, Manufacturing, Plastics and Rubber Manufacturing","The Hague, Zuid-Holland, The Netherlands","Airborne International is engaged in engineering, manufacturing, and supplying high-end composites structures for various industries.",29888
Incentivio,"Apps, Cloud Data Services, Food and Beverage, Internet, Mobile, Restaurants, Software","Boston, Massachusetts, United States",Helping restaurants win Restaurant 2.0 by transforming the restaurant experience for the digital age,29889
HOPR,"Blockchain, Privacy, Security, Software","Zürich, Zurich, Switzerland",HOPR delivers web3 ecosystem tools and a framework.,29890
NimbleBox.ai,"Artificial Intelligence, Developer Tools, Machine Learning, Software","San Francisco, California, United States",MLOps for fast-moving startups,29891
ViajaNet,"Hotel, Leisure, Online Auctions, Tourism, Travel","São Caetano Do Sul, Sao Paulo, Brazil","ViajaNet is an online travel agency offering flights, hotels, cruises and vacation packages to its consumers.",29892
Mindful,"Events, Internet, Publishing","Halifax, Nova Scotia, Canada",Mindful builds information and training products designed to spread the gifts of mindfulness throughout the world.,29893
Oneka Technologies,"CleanTech, Hardware, Marine Technology, Product Design, Renewable Energy, Water, Water Purification","Sherbrooke, Quebec, Canada",Zero-Energy Sustainable Drinking Water source from the ocean using All-in-One easily Expandable Wave-Powered Desalination Systems,29894
Diasome Pharmaceuticals,"Biotechnology, Health Care, Life Science, Medical, Therapeutics","Cleveland, Ohio, United States",Diasome Pharmaceuticals is a clinical-stage diabetes therapeutics company that designs and develops insulin-based therapies.,29895
Scripted.com,"B2B, Content Creators, Crowdsourcing, Freelance, Internet","Las Vegas, Nevada, United States",Scripted provides freelance writing services for small businesses.,29896
Morgan State University,,"Baltimore, Maryland, United States","Morgan State University is a historically black college (HBCU) in Baltimore, Maryland, United States.",29897
Climes,"CleanTech, Sustainability","Delhi, Delhi, India",Climes is a ClimateTech company that offers carbon neutralisation,29898
Luna,"Apps, Fitness, Health Care, Wellness","Menlo Park, California, United States",Luna is an on-demand physical therapy provider.,29899
Rover,"Consumer, Marketplace, Pet","Seattle, Washington, United States",Rover is an online pet care marketplace that connects pet parents with pet sitters and dog walkers.,29900
CoCoPIE,"Artificial Intelligence, Information Technology, Software","Irvine, California, United States",CoCoPIE is a startup developing a platform to optimize AI models for edge devices.,29901
UNYQ,"3D Printing, Big Data, Fashion, Health Care, Internet of Things, Personal Health","San Francisco, California, United States",UNYQ is a global medical device company with industry-leading innovative mass customized orthopedic products,29902
Biothera,"Biotechnology, Medical, Medical Device","Eagan, Minnesota, United States",Biothera is a biotechnology company developing natural gluco polysaccharides that engage and direct natural innate immune systems.,29903
Albertsons,"Fitness, Food and Beverage, Grocery, Health Care, Retail, Supply Chain Management","Boise, Idaho, United States","Albertsons is one of the largest food and drug retailers in the United States, with both a strong local presence and national scale.",29904
Census,"Analytics, Data Center Automation, Data Integration, Database, SaaS","San Francisco, California, United States",Census delivers trusted data and analytics from your data warehouse into all your operational tools.,29905
Prestatech,"Banking, FinTech, Information Technology","Berlin, Berlin, Germany",Prestatech offers to leading European Banks a variety of credit services from data enrichment to end-to-end instant lending solutions.,29906
Machnet,"Banking, Financial Services, FinTech, Information Technology, Payments, Software","Santa Clara, California, United States",Machpay is all in one single programmable API for cross border payments.,29907
Mindtrace,"Aerospace, Artificial Intelligence, Asset Management, Automotive, Construction, Health Care, Pharmaceutical, Real Estate, Retail Technology, Warehousing","Manchester, Manchester, United Kingdom","Mindtrace bleeding edge artificial intelligence facilitates the automation of quality, safety & production systems throughout industry",29908
JOYPLUS,"Advertising, Digital Marketing, Marketing","Huangpu, Shanghai, China",JOYPLUS is a digital marketing solution provider company.,29909
Staking Rewards,"Blockchain, Cryptocurrency, FinTech","Sankt Gallen, Sankt Gallen, Switzerland",Staking Rewards is the market leader for staking data & research.,29910
Hometime,"Hospitality, Property Management, Real Estate, Sharing Economy, Travel","Sydney, New South Wales, Australia","Building a global ecosystem of entrepreneurs, hosts and guests!",29911
Coadjute,"Blockchain, Real Estate","London, England, United Kingdom",Coadjute is a blockchain property technology offering an open network that cuts the cost and increase the speed of property transactions.,29912
Nimbla,"Commercial Insurance, Financial Services, FinTech, Information Services, Information Technology, Insurance, InsurTech","London, England, United Kingdom",Nimbla is dedicated to providing small and medium-sized UK businesses with dynamic invoice insurance.,29913
Hi Platform,"CRM, Customer Service, Enterprise Software, SaaS, Social CRM, Social Media, Ticketing, Virtual Assistant","São Paulo, Sao Paulo, Brazil",Hi Platform is a service platform that enables companies to build better relationships with their customers.,29914
FarmaceuticalRx,"Cannabis, Education, Medical, Pharmaceutical","East Liverpool, Ohio, United States",FarmaceuticalRx is a therapeutics company focused on bringing innovations through research and development to the medical marijuana sector.,29915
Homestead,"Construction, Property Development, Property Management, Real Estate","Los Angeles, California, United States",Homestead helps homeowners turn their equity into wealth and new housing,29916
Summer,"Beauty, Wellness","Seoul, Seoul-t'ukpyolsi, South Korea","Summer International is a beauty, health, and wellness lifestyle company.",29917
ThingTrax,"Cloud Data Services, Information Technology, Internet of Things, SaaS, Software","London, England, United Kingdom",ThingTrax helps manufacturers reduce downtime and increase operational efficiency with their devices capturing data from machines.,29918
Mybank.cn,"Banking, Financial Services, Lending","Hangzhou, Zhejiang, China",Mybank.cn is provides banking services.,29919
Identitypass,"Developer APIs, Information Technology","Nguru, Lagos, Nigeria",KYC Verification Company,29920
Ex Populus,"Blockchain, Gaming, Media and Entertainment","San Francisco, California, United States",Ex Populus is a Web3 video game publishing company,29921
PeopleDoc,"Enterprise Software, Human Resources, Innovation Management, Internet, SaaS","New York, New York, United States",PeopleDoc is a Cloud-based HR Service Delivery platform enabling organizations to effectively manage HR operations and communications.,29922
Groupay,"Online Auctions, Payments, Software","London, England, United Kingdom",Groupay is an online platform for web design.,29923
OneCup AI,"Agriculture, AgTech, Artificial Intelligence, Computer Vision, Farming, Livestock, Machine Learning, Software","Vancouver, British Columbia, Canada","OneCup uses Computer Vision to identify livestock, effectively Face ID for animals - we then track health, growth, activity, and phenotypes.",29924
e-peas,"Battery, Electronics, Energy, Semiconductor, Sensor","Mont-saint-guibert, Brabant Wallon, Belgium",e-peas is an innovative semiconductor company developing energy harvesting solutions to help future businesses create battery free products.,29925
Fleetsmith,"Enterprise Software, IT Management, Security, Small and Medium Businesses","San Francisco, California, United States",Fleetsmith puts Apple device management and security on auto-pilot.,29926
Minim,"Consumer Electronics, Cyber Security, Internet, Internet of Things, Network Security, Security, Software","Manchester, New Hampshire, United States",Minim (NASDAQ: MINM) was born as a networking company and now delivers intelligent software to protect and improve the WiFi we depend on.,29927
ActiveNav,"Big Data, Information Technology, Privacy, Risk Management, SaaS, Software","Reston, Virginia, United States",ActiveNav is the data privacy and governance software provider and innovator of DMaaS (Data Mapping as a Service.),29928
AI Clearing,Construction,"Austin, Texas, United States",Full digital field construction progress tracking. To decrease re-work cost. To mitigate litigation risk. 100% databased.,29929
Bild,,"San Francisco, California, United States",Build hardware faster. better. together.,29930
ChangeOver Technologies,Mining,"Belfast, Belfast, United Kingdom",ChangeOver Technologies develops tailored technology that will clean up legacy waste and reduce CO2.,29931
Osteal Therapeutics,"Biotechnology, Health Care, Medical, Medical Device, Pharmaceutical","San Clemente, California, United States",Osteal Therapeutics is a clinical stage specialty pharmaceutical company developing novel treatments for orthopedic infections.,29932
Graphite One Resources,"Mining, Natural Resources, Precious Metals","Vancouver, British Columbia, Canada",Graphite One Resources is a mining and metals company that produces coated spherical graphite.,29933
IslamicFinanceGuru,"Finance, Financial Services","London, England, United Kingdom",IslamicFinanceGuru is a hub that helps Muslims find great sharia-compliant investments from all over the world,29934
Ocean's Halo,"Food and Beverage, Snack Food","Burlingame, California, United States","Ocean’s Halo is a fun and approachable, organic and plant-based brand built to drive consumption of Asian-ethnic foods in the US and Europe.",29935
Claimsforce,"Artificial Intelligence, Financial Services, Insurance, Machine Learning, SaaS","Hamburg, Hamburg, Germany",Claimsforce is an insurance platform that provides designed to automate the claims management process.,29936
PlatformE,"3D Technology, Fashion, Information Technology, Internet, Made to Order, Personalization","Oporto, Porto, Portugal",Platforme is the new standard for made-to-order production (MTO).,29937
Moderne,"Cyber Security, Developer Tools, Information Technology, Software","Seattle, Washington, United States",Moderne provides code automation solution for software development.,29938
Javer,"Commercial Real Estate, Construction, Real Estate","Monterrey, Nuevo Leon, Mexico","Javer is a housing development company that expertise in renting, buying, selling and appraising real estate properties.",29939
Applied Blockchain,"Blockchain, Cryptocurrency, Finance","Dallas, Texas, United States",Applied Blockchain seeks to scale Ethereum and altcoin mining operations through strategic partnerships.,29940
Osper,"Banking, Financial Services, FinTech","London, England, United Kingdom",Osper is a prepaid debit card and mobile banking service empowering young people to manage their money responsibly.,29941
RadPad,"Apps, iOS, Mobile, Real Estate","Los Angeles, California, United States","RadPad is a developer of a property searching mobile application used to find new apartments, condos, or homes.",29942
Project Imagine,"Financial Services, FinTech","London, England, United Kingdom","Project Imagine aims to bring true innovation in financial services, alongside financial education for consumers",29943
LawAdvisor,"Legal Tech, Software","Melbourne, Victoria, Australia",Breaking the law: because status quo no longer works.,29944
Mighty Health,"Fitness, Health Care, Wellness","San Francisco, California, United States","Mighty Health is a personal health coach that offers joint-friendly, low-impact workouts for healthy aging.",29945
Nivati,"Employee Benefits, Health Care, Human Resources, Personal Health, Software, Wellness","South Jordan, Utah, United States",SaaS platform for employee mental health,29946
Legion M,"Content Creators, Content Marketing, Digital Entertainment, Event Promotion, Film Production, Marketing, Media and Entertainment, Social Network, TV Production, Virtual Reality","Los Angeles, California, United States","Legion M is a fan-owned entertainment company producing a slate of movies, TV, and digital content.",29947
Aeternity,"Blockchain, Cryptocurrency, Internet, Transaction Processing","Vaduz, Vaduz, Liechtenstein","Aeternity is a scalable blockchain platform that enables high-speed transacting, purely-functional smart contracts.",29948
Buildup,"Construction, Mobile Apps, Property Development, Real Estate, SaaS, Software, Task Management","San Francisco, California, United States","Buildup is an easy to use collaboration tool for task management, punch list and inspections for construction, development and renovations",29949
Phizzle,"Aerospace, Autonomous Vehicles, Industrial Automation, Oil and Gas, Pharmaceutical, Smart Cities, Telecommunications, Transportation","San Francisco, California, United States",The First IoT Solution to Remotely Operate Multi-Vendor Particle Counters in Scientific Data Applications.,29950
Quark.ai,"SaaS, Software","Santa Clara, California, United States","Quark is an Autonomous Support platform that interprets support issues to recommend resolutions automatically, skyrocketing productivity.",29951
TimeTrade,"Enterprise Software, Internet, Retail, SaaS, Software","Tewksbury, Massachusetts, United States",TimeTrade offers SaaS-based Appointment Driven Customer engagement,29952
Naked Labs,"3D Technology, Artificial Intelligence, Consumer Electronics, Electronics, Fitness, Software","Redwood City, California, United States","Naked Labs is a startup focusing on 3D scanning, computer vision, and human-centered design.",29953
SEngine Precision Medicine,Biotechnology,"Seattle, Washington, United States",SEngine Precision Medicine has engineered an innovative approach to identify and develop the next generation of cancer targeted drugs.,29954
Heatle,"Electronics, Food and Beverage, Manufacturing, Smart Home","Berlin, Berlin, Germany",Heatle engages in the manufacture and supply of an inductive immersion heater that heats liquids in the vessel of your choice.,29955
ClearX,"Enterprise, Enterprise Software, FinTech, Marketplace, Software","Singapore, Central Region, Singapore",Blockchain-based enterprise marketplaces to seamlessly automate order to cash cycles with no disputes,29956
Voliro Airborne Robotics,"Drones, Robotics, Software","Zürich, Zurich, Switzerland","Voliro is developing advanced flying robots to perform Inspection and Maintenance tasks. Voliro's flying robot can “fly, see and touch”.",29957
Minnetronix,"Health Care, Medical, Medical Device","Saint Paul Park, Minnesota, United States","Minnetronix Medical provides medical device commercialization services, including design and manufacturing.",29958
Alloy,"Health Care, Women's","New York, New York, United States",Alloy is a telehealth company addressing the healthcare needs of women over 40.,29959
The Dots,"Communities, Online Portals, Professional Networking, Professional Services, Social Network","London, England, United Kingdom",The professional network for people who don’t wear suits to work.,29960
L&S Mechanical,"Building Material, Consumer Electronics, Real Estate","Richardson, Texas, United States","L&S Mechanical is a single-family home and small commercial building contractor in Texas, offering plumbing, electrical, and HVAC services.",29961
Amplifinity,"Brand Marketing, Enterprise Software, Lead Generation, Marketing Automation, SaaS, Software","Ann Arbor, Michigan, United States",Amplifinity develops referral software that automates the referral tracking and management of B2B customer and partner referral programs.,29962
Bare Performance Nutrition,"Fitness, Health Care, Retail","Round Rock, Texas, United States",Bare Performance Nutrition is an online store for supplement products and sports apparels.,29963
Quuppa,"Customer Service, Information Services, Information Technology, Location Based Services, Software","Espoo, Southern Finland, Finland",Quuppa is a technology platform that provides intelligent real time locating services and applications.,29964
Gateway Casinos,Gambling,"Burnaby, British Columbia, Canada",Gateway Casinos & Entertainment is one of the largest casino and entertainment companies in Western Canada.,29965
Spring Global,"Mobile, Mobile Apps, Software, Wireless","Reston, Virginia, United States","Spring Mobile Solutions offers cloud-based, out-of-the box mobile applications designed to optimize medium to large field force operations.",29966
Meridian Bank,"Banking, Financial Services","Malvern, Pennsylvania, United States",Meridian Bank is a full service financial institution.,29967
Sunrise,"Apps, Email, Events, Internet, Mobile","Paris, Ile-de-France, France","Sunrise is a free calendar app specifically designed to make your life easier. Available on Android, iPhone, iPad, Mac & Web.",29968
Searchable.ai,"Artificial Intelligence, Productivity Tools, Semantic Search","San Francisco, California, United States",Searchable.ai is a developer of a personalized semantic search engine used to improve work productivity.,29969
PursueCare,"Health Care, Medical, Mobile Apps","Middletown, Connecticut, United States",PursueCare is a telemedicine treatment company that offers virtual evidence-based addiction treatment for substance use disorders.,29970
Victorious,"Content Creators, Internet, Software, Video","Santa Monica, California, United States","Victorious enables, manages and finances a digital superfan club.",29971
Lingble,"E-Commerce, Internet","Singapore, Central Region, Singapore",Delivering global e-commerce tailored to you and your customers,29972
Proenza Schouler,"Fashion, Manufacturing, Retail, Shopping","New York, New York, United States",Proenza Schouler is a designer and manufacturer of women's wear and accessories in the U.S.,29973
Flowerbx,"E-Commerce, Fashion, Staffing Agency","London, England, United Kingdom","Flowerbx is an online, wholesale, flower-delivery service.",29974
SpeeDx,"Biotechnology, Health Diagnostics, Medical","Sydney, New South Wales, Australia",SpeeDx is a provider of innovative multiplex and isothermal amplification solutions for clinical diagnostics.,29975
aTyr Pharma,"Biotechnology, Pharmaceutical, Therapeutics","San Diego, California, United States",aTyr Pharma is a biotherapeutics company that discovers and develops protein biologics for human therapeutics.,29976
AC Immune,"Biotechnology, Pharmaceutical, Therapeutics","Lausanne, Vaud, Switzerland",AC Immune is a  biopharmaceutical company focused on neurodegenerative diseases with three product candidates in clinical trials,29977
Picnic,"Consumer Goods, Delivery Service, E-Commerce, Grocery, Retail","Amsterdam, Noord-Holland, The Netherlands",Picnic is a fast-growing tech company that has developed a mass-market home delivery system for fast moving consumer goods,29978
CroíValve,Medical Device,"Dublin, Dublin, Ireland","CroíValve is a developed safe, effective, easy to use, percutaneous solution company.",29979
Coral,"Apps, Personal Health","Los Angeles, California, United States",Coral is an app designed to help you cultivate your sexuality and transform your relationship with sex.,29980
Ternary,"Cloud Computing, Finance, Software","San Francisco, California, United States",Cloud Cost Management,29981
Amicole,"Beauty, Cosmetics, Fashion, Manufacturing","New York, New York, United States",Amicole is a cosmetics manufacturer that aims to provide customers with a wide range of skin care and formula items.,29982
Monit,"Banking, Financial Services, FinTech, Predictive Analytics, SaaS, Software","Boston, Massachusetts, United States",Cashflow tools & insights for SMBs. Sales & targeting platform for banks.,29983
ecoLocked,"Advanced Materials, Building Material, CleanTech, Green Building","Berlin, Berlin, Germany",Sustainable building materials from captured carbon,29984
Biognosys,"Biotechnology, Clinical Trials, Communities, Genetics, Health Care","Schlieren, Zurich, Switzerland",Biognosys provides the best possible solutions to support researchers in their protein analysis needs.,29985
NOVAMEAT,"Food and Beverage, Food Processing","Barcelona, Catalonia, Spain",NOVAMEAT develops cutting-edge technological solutions to feed the planet’s growing population with plant-based foods.,29986
Leyan Technologies,"Artificial Intelligence, Robotics","Shanghai, Shanghai, China",Shanghai based Robotics company.,29987
Daawat Foods,"Food and Beverage, Manufacturing","Gurgaon, Haryana, India",Daawat Foods is a Basmati rice manufacturers.,29988
Plexian,"FinTech, Loyalty Programs","Malmö, Skane Lan, Sweden",Re-imagines what it means to have a loyalty program and how to become a loyalty company.,29989
DronaHQ,"Developer Tools, Enterprise Applications, Information Technology, Mobile Apps, PaaS, Productivity Tools, SaaS, Software, Web Apps, Web Development","Mumbai, Maharashtra, India","Low-code App Development Platform to build internal tools, admin panels, dashboards, data collection forms for mobile & web apps",29990
Helm,"Network Security, Privacy, Security","Bellevue, Washington, United States",Helm is a consumer privacy and security company helping people take back ownership of their data.,29991
The Lobby,"E-Commerce, E-Commerce Platforms, Fashion, Shopping","San Francisco, California, United States",The Lobby is a video shopping platform that bridges the gap between online and offline shopping.,29992
Fairing,"E-Commerce, Software","New York, New York, United States",Fairing brings speed & scale to zero-party data for thousands of Ecommerce brands.,29993
PlayHaven,"Advertising, Developer Platform, Mobile","San Francisco, California, United States","PlayHaven offers tools for mobile developers to manage player acquisition, engagement, and monetization.",29994
Pod Trackers,"GPS, Hardware, Internet of Things, Software","Santa Monica, California, United States",Pod Trackers is a smallest & lightest GPS + WiFi pet tracker.,29995
NextPoint Financial,Financial Services,"Vancouver, Alberta, Canada","NextPoint Financial is an all-inclusive financial services destination providing tax services, loans and other solutions.",29996
WearOptimo,"Health Care, Health Diagnostics, Medical Device, Wearables","Brisbane, Queensland, Australia",WearOptimo is a low-cost wearable technology that helps users to track their health in real time.,29997
Carscan,"Automotive, Mobile Apps","Johannesburg, NA - South Africa, South Africa",Carscan is an Augmented Reality app with an embedded visual recognition AI to track the visual condition of every motor vehicle.,29998
Keyssa,"Big Data, Hardware, Mechanical Design","Campbell, California, United States",Keyssa reinvented the connector and created Kiss Connectivity.,29999
Zebra Labs,,,Bring celebrities and artists to the Metaverse.,30000
Kanverse.ai,"Artificial Intelligence, Information Services, Information Technology, Machine Learning, SaaS, Software","San Jose, California, United States",Cognitive automation platform,30001
Kambeo,"Apps, Communities, Education, Human Resources, Mobile, Mobile Apps, Small and Medium Businesses, Social Media","New York, New York, United States",A platform built to inspire social change,30002
esVolta,"Energy, Energy Management, Energy Storage","Aliso Viejo, California, United States","esVolta is a developer, owner and operator of utility-scale energy storage projects.",30003
Puzzle Financial,Financial Services,"San Francisco, California, United States",Puzzle Financial is a modern data platform for startups,30004
Origene Technologies,"Biotechnology, Genetics, Medical Device, Pharmaceutical","Rockville, Maryland, United States",OriGene Technologies is a research tool company that provides a commercial collection of full-length human cDNAs.,30005
Attn: Grace,Consumer Goods,"Cambridge, Massachusetts, United States","Attn: Grace is a female-founded incontinence care startup designing skin-safe, more sustainable solutions for women with bladder leaks.",30006
UNXD,"Digital Marketing, E-Commerce, Information Technology, Marketplace",,UNXD is a curated marketplace for the best of digital culture.,30007
Polar Security,"Cloud Security, Cyber Security","Tel Aviv, Tel Aviv, Israel","Automated Cloud Data Security & Compliance - wherever your sensitive data is, however fast developers create it",30008
EMERGE Commerce,"E-Commerce, E-Commerce Platforms, Marketing","Toronto, Ontario, Canada",Emerge is an international acquirer and operator of established e-commerce businesses.,30009
AltspaceVR,"Digital Media, Software, Virtual Reality, Virtualization","Redwood City, California, United States",AltspaceVR is a virtual reality software company.,30010
WAKU Robotics,"Artificial Intelligence, Industrial Automation, Machine Learning, Robotics, SaaS, Software, Warehousing","Berlin, Berlin, Germany",The company offers a cloud-based SaaS solution that connects robots from different vendors in warehouse and production environments.,30011
Osigu,"Information Technology, Insurance","Miami, Florida, United States",Osigu provides an insurance management platform intended to be used for data processes and data transfers.,30012
LingoTalk,"E-Learning, EdTech, Education, Language Learning","Jakarta, Jakarta Raya, Indonesia",LingoTalk provides a personalized remote language learning platform.,30013
First Business Bank,Financial Services,"Madison, Wisconsin, United States","First Business Bank offers business banking, commercial banking, specialty finance, private wealth, and consulting to banks. Member FDIC.",30014
Harvesting,"Agriculture, Big Data, Credit, Emerging Markets, Finance, Predictive Analytics, SaaS, Software","Fremont, California, United States","Harvesting provides an agriculture intelligence engine that will help bring speed, accuracy, and transparency.",30015
Orcan Energy,Hardware,"München, Bayern, Germany",Orcan Energy is a waste heat recovery tech company developing ORC platform technology to produce mechanical energy and electricity.,30016
Wile,"Fitness, Health Care, Personal Health, Wellness, Women's","Portland, Oregon, United States","Wile is a holistic, plant-based wellness line for grown women 40-plus, rooted in hormonal and emotional balance.",30017
Midday,"Health Care, Medical Device, Women's","Oakland, California, United States",Midday is a digital platform for menopause and midlife women's health.,30018
Intros AI,"Artificial Intelligence, Communications Infrastructure, Communities","New York, New York, United States","Intros AI is an automated community builder. They automate email, text, and Discord introductions between members of the same community.",30019
pay theory,"Child Care, EdTech, Education, Finance, Financial Services, FinTech, SaaS, Underserved Children","Cincinnati, Ohio, United States","Payments platform tailored for Family Tech SaaS vendors to education, healthcare, childcare and children's enrichment providers.",30020
Dive Technologies,"Automotive, Autonomous Vehicles, Robotics","Quincy, Massachusetts, United States",Dive Technologies is a developer of underwater vehicles used to produce reliable Autonomous Underwater Vehicles (AUVs).,30021
Qure.Finance,"Apps, Finance, Financial Services, FinTech, Funding Platform, Internet, Mobile Apps","San Francisco, California, United States",Qure.Finance is a revolutionary investment platform offering social-media style trading insights by global finfluencers to young investors.,30022
Clip,"E-Commerce, FinTech, Mobile, Mobile Payments, Payments","Mexico City, Distrito Federal, Mexico",Clip is the leading digital payments and commerce enablement platform in Mexico.,30023
Agave,"B2B, Construction, Developer APIs, SaaS, Software","Santa Barbara, California, United States",Unified API for Construction,30024
XYZ Venture Capital,"Financial Services, FinTech, InsurTech, Venture Capital","San Francisco, California, United States",XYZ Ventures is an early-stage venture capital firm that supports startups build companies in the fintech and insurtech industries.,30025
Instacrops,"AgTech, Artificial Intelligence, Internet of Things, Software","Santiago, Region Metropolitana, Chile",Instacrops is a full stack platform that integrates a set of technologies for giving real time recommendations for farmers using ML and AI.,30026
Zakeke,"3D Printing, 3D Technology, Augmented Reality, E-Commerce, E-Commerce Platforms, Product Design, SaaS, Software","Milan, Lombardia, Italy","Zakeke is a cloud based Visual Commerce Solution helping brands scale up, boost conversion and keep customers engaged with 2D, 3D, AR & VTO",30027
